#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
34;Austria;3225272;37125;15261;40;2816416;31420;393595;219;354671;1678;167268269;18393867;9093698;Europe
35;Switzerland;3173851;38297;13438;5;2555555;13444;604858;143;362223;1534;19474998;2222631;8762139;Europe
36;Denmark;2826404;9420;5232;36;2646071;17487;175101;26;485065;898;126352755;21684555;5826855;Europe
37;Romania;2798935;4854;64473;60;2606660;0;127802;542;147160;3390;21607053;1136037;19019674;Europe
38;Greece;2684916;26620;26686;51;2443577;15710;214653;358;259749;2582;69719530;6744945;10336560;Europe
39;Sweden;2472068;1715;17904;6;2389295;3918;64869;39;242211;1754;18342988;1797232;10206244;Europe
40;Iraq;2313943;573;25109;4;2268769;1346;20065;72;55418;601;18175523;435293;41754655;Asia
41;Bangladesh;1949942;217;29112;0;1864408;1600;56422;1264;11643;174;13665453;81596;167476391;Asia
42;Serbia;1945142;2415;15619;15;1887890;3184;41633;66;224157;1800;8956349;1032125;8677580;Europe
43;Hungary;1814362;0;44653;0;1650643;0;119066;109;188629;4642;10921558;1135453;9618677;Europe
44;Jordan;1680179;0;13959;0;1647266;0;18954;694;161942;1345;16499905;1590323;10375188;Asia
45;Georgia;1637691;1716;16585;16;1590380;1551;30726;0;411878;4171;16099446;4048996;3976158;Asia
46;Slovakia;1586140;9654;18979;29;1439179;11175;127982;217;290282;3473;6634177;1214131;5464135;Europe
47;Pakistan;1519627;473;30313;4;1471288;466;18026;560;6660;133;26963417;118170;228174493;Asia
48;Norway;1363406;6126;1753;0;N/A;N/A;N/A;29;248197;319;9852076;1793487;5493251;Europe
49;Ireland;1360015;6282;6636;12;1245453;4318;107926;42;270302;1319;11546772;2294910;5031471;Europe
50;Kazakhstan;1304560;54;13648;0;1281862;958;9050;528;68094;712;11575012;604181;19158177;Asia
51;Morocco;1162236;111;16046;3;1145486;148;704;293;30867;426;11237010;298431;37653636;Africa
52;Bulgaria;1117525;2393;36196;34;885909;3260;195420;288;162914;5277;9406028;1371224;6859586;Europe
53;Lebanon;1085846;614;10219;8;1006268;4435;69359;186;160308;1509;4795578;707989;6773518;Asia
54;Cuba;1077966;561;8503;0;1066760;610;2703;23;95270;751;12920253;1141882;11314871;North America
55;Croatia;1074706;1179;15373;19;1050939;1263;8394;47;264559;3784;4591099;1130184;4062258;Europe
56;Tunisia;1029762;0;28065;0;983630;0;18067;74;85609;2333;4475031;372030;12028676;Africa
57;Nepal;978044;57;11950;0;961348;130;4746;100;32573;398;5492019;182905;30026627;Asia
58;Lithuania;969197;4982;8666;16;887641;9113;72890;63;364666;3261;7907132;2975102;2657768;Europe
59;Singapore;964329;15851;1159;6;921236;12945;41934;23;162660;195;23315251;3932739;5928502;Asia
60;Belarus;943027;693;6681;11;928536;0;7810;0;99854;707;12651102;1339586;9444042;Europe
61;Slovenia;923038;4228;6419;4;888977;2555;27642;65;443891;3087;2591453;1246237;2079423;Europe
62;Bolivia;897970;481;21475;2;810015;1387;66480;220;75185;1798;2682016;224560;11943446;South America
63;UAE;885983;280;2302;0;851918;947;31763;0;87779;228;143122412;14179851;10093365;Asia
64;Uruguay;867282;1638;7110;7;850698;1731;9474;65;248207;2035;5834665;1669823;3494182;South America
65;Ecuador;849699;0;35348;0;N/A;N/A;N/A;759;46950;1953;2470170;136488;18098018;South America
66;Costa Rica;826251;1093;8192;6;739726;6062;78333;94;159720;1584;3854668;745132;5173135;North America
67;Guatemala;807453;2060;17170;11;768454;3149;21829;5;43697;929;4085376;221091;18478264;North America
68;Azerbaijan;790962;142;9627;9;779828;243;1507;0;76834;935;6640773;645085;10294416;Asia
69;Finland;767220;6110;2719;2;46000;0;718501;42;138105;489;10162649;1829347;5555343;Europe
70;Hong Kong;761550;27765;4568;289;13232;0;743750;111;100200;601;36260319;4770905;7600302;Asia
71;Panama;760105;323;8143;3;749576;354;2386;16;171577;1838;5603325;1264828;4430110;North America
72;Latvia;750683;6250;5450;6;647896;3607;97337;41;405605;2945;6924994;3741677;1850773;Europe
73;Saudi Arabia;749044;129;9021;1;731219;215;8804;256;20961;252;41284790;1155318;35734581;Asia
74;Sri Lanka;656814;428;16415;8;619073;112;21326;0;30456;761;6368159;295290;21565778;Asia
75;Paraguay;646283;229;18552;4;621240;408;6491;77;88759;2548;2561955;351852;7281345;South America
76;Kuwait;626384;270;2552;0;620141;469;3691;9;143081;583;7763313;1773325;4377828;Asia
77;Myanmar;606910;683;19414;3;559673;937;27823;0;11029;353;7422318;134879;55029436;Asia
78;Palestine;579923;0;5321;0;570740;0;3862;58;109363;1003;3078533;580558;5302711;Asia
79;Dominican Republic;576788;90;4374;0;572028;131;386;23;52280;396;3174924;287774;11032690;North America
80;Bahrain;539988;1194;1464;1;526515;1731;12009;8;299676;812;9516707;5281464;1801907;Asia
81;Estonia;534787;2705;2367;8;433572;1178;98848;19;402686;1782;3183507;2397127;1328051;Europe
82;Venezuela;518750;290;5661;2;510005;255;3084;230;18331;200;3359014;118697;28299060;South America
83;Moldova;508578;343;11357;7;491634;641;5587;87;126574;2827;3094224;770084;4018035;Europe
84;Libya;500497;193;6354;4;484591;636;9552;119;71195;904;2457789;349615;7029980;Africa
85;Egypt;495373;0;24277;0;424831;0;46265;122;4691;230;3693367;34971;105611495;Africa
86;Ethiopia;469291;69;7486;0;421500;15;40305;50;3917;62;4576756;38204;119796872;Africa
87;Mongolia;467100;97;2177;0;313256;0;151667;192;138690;646;4030048;1196592;3367939;Asia
88;Armenia;422076;55;8579;3;408799;237;4698;0;141986;2886;2938644;988560;2972652;Asia
89;Honduras;417201;472;10842;8;131100;0;275259;105;41014;1066;1263329;124195;10172115;North America
90;New Zealand;399342;21657;117;8;205975;18859;193250;0;79835;23;6842694;1367964;5002100;Australia/Oceania
91;Oman;386829;183;4250;0;379788;225;2791;19;72616;798;25000000;4693028;5327051;Asia
92;Bosnia and Herzegovina;373506;147;15641;6;192218;0;165647;0;115061;4818;1725264;531480;3246150;Europe
93;Cyprus;360078;3294;904;2;124370;0;234804;60;294593;740;9477138;7753598;1222289;Asia
94;Qatar;359361;102;677;0;357549;158;1135;3;127986;241;3395654;1209362;2807805;Asia
95;Kenya;323204;9;5647;1;317503;12;54;1;5794;101;3448106;61814;55781934;Africa
96;Réunion;318695;8514;689;9;306072;7990;11934;41;351696;760;1535875;1694916;906166;Africa
97;Zambia;315202;0;3960;0;309765;0;1477;3;16368;206;3310740;171918;19257651;Africa
98;North Macedonia;301895;312;9155;5;290617;0;2123;0;144917;4395;1904444;914179;2083229;Europe
99;Albania;272711;22;3486;1;268563;152;662;13;94940;1214;1761701;613308;2872459;Europe
100;Algeria;265478;21;6868;2;178094;21;80516;6;5874;152;230861;5108;45195539;Africa
101;Botswana;263950;0;2619;0;259434;0;1897;1;108521;1077;2026898;833347;2432239;Africa
102;Nigeria;255001;0;3142;0;249373;0;2486;11;1187;15;4589725;21366;214811319;Africa
103;Zimbabwe;243365;456;5417;1;232787;362;5161;12;15979;356;2137216;140326;15230365;Africa
104;Uzbekistan;237281;21;1637;0;234720;51;924;23;6919;48;1377915;40181;34292965;Asia
105;Montenegro;231719;106;2695;2;228257;110;767;60;368861;4290;1190834;1895626;628201;Europe
106;Mozambique;225188;9;2198;0;221989;17;1001;13;6878;67;1285237;39254;32741418;Africa
107;Kyrgyzstan;200758;16;2974;1;195916;43;1868;131;29933;443;1907195;284360;6706976;Asia
108;Luxembourg;194846;907;1007;1;182044;17;11795;3;302898;1565;4107467;6385272;643272;Europe
109;Afghanistan;176617;154;7649;4;159007;352;9961;1124;4370;189;906639;22432;40416563;Asia
110;Maldives;174658;0;297;0;163687;0;10674;25;313733;533;2213831;3976640;556709;Asia
111;Iceland;165365;2427;83;2;75685;0;89597;6;479312;241;1835985;5321619;345005;Europe
112;Uganda;163530;13;3594;0;100123;6;59813;11;3393;75;2506821;52018;48191869;Africa
113;Ghana;160761;45;1445;0;159227;115;89;1;4997;45;2376530;73865;32174072;Africa
114;Namibia;157458;20;4014;0;155293;2224;-1849;1;60121;1533;969833;370301;2619037;Africa
115;El Salvador;156364;0;4102;1;132410;0;19852;153;23902;627;1758939;268877;6541804;North America
116;Laos;147409;722;643;1;7660;0;139106;0;19774;86;1002806;134517;7454855;Asia
117;Martinique;135881;9660;905;5;104;0;134872;8;362571;2415;777358;2074221;374771;North America
118;Cambodia;134352;139;3048;1;129717;425;1587;0;7851;178;2900473;169500;17111927;Asia
119;Trinidad and Tobago;133393;242;3690;4;116951;1439;12752;18;94794;2622;651489;462973;1407187;North America
120;Guadeloupe;130705;0;843;0;2250;0;127612;19;326567;2106;938039;2343691;400240;North America
121;Rwanda;129610;8;1458;0;45522;0;82630;0;9603;108;4985910;369404;13497163;Africa
122;Jamaica;128418;18;2851;1;79633;108;45934;25;43048;956;885522;296844;2983124;North America
123;China;120504;3602;4636;0;103884;149;11984;8;84;3;160000000;111163;1439323776;Asia
124;Cameroon;119322;0;1926;0;117263;0;133;13;4313;70;1751774;63315;27667397;Africa
125;Brunei ;116882;2511;171;1;89174;5413;27537;0;262895;385;717784;1614467;444595;Asia
126;Angola;98956;25;1900;0;96935;35;121;0;2860;55;1470711;42505;34600889;Africa
127;DRC;86375;31;1335;0;50930;0;34110;0;917;14;846704;8990;94181358;Africa
128;Senegal;85808;2;1964;0;83793;8;51;3;4905;112;1027175;58720;17492766;Africa
129;Malawi;85515;11;2624;1;76810;58;6081;67;4282;131;554744;27780;19968907;Africa
130;Ivory Coast;81616;18;796;0;80746;11;74;0;2969;29;1448758;52707;27486942;Africa
131;Suriname;78793;30;1321;0;49367;0;28105;0;132300;2218;232620;390590;595561;South America
132;French Guiana;78220;72;394;0;11254;0;66572;2;250849;1264;604462;1938490;311821;South America
133;Malta;73195;194;617;2;70639;78;1939;3;165024;1391;1211456;2731328;443541;Europe
134;French Polynesia;70826;390;645;0;N/A;N/A;N/A;7;249680;2274;0;0;283667;Australia/Oceania
135;Eswatini;69478;19;1392;0;68049;7;37;11;58851;1179;487301;412768;1180568;Africa
136;Fiji;64149;68;834;0;62237;0;1078;0;70689;919;502418;553641;907480;Australia/Oceania
137;Madagascar;63870;0;1377;0;59156;0;3337;23;2210;48;404843;14009;28899209;Africa
138;Guyana;63157;10;1225;0;61740;18;192;4;79643;1545;554991;699863;793000;South America
139;Sudan;61715;2;4874;2;N/A;N/A;N/A;0;1354;107;562941;12349;45587096;Africa
140;Channel Islands;59867;2602;147;0;54718;1431;5002;0;339027;832;1226909;6947980;176585;Europe
141;New Caledonia;59618;196;305;0;57445;337;1868;25;205466;1051;98964;341067;290160;Australia/Oceania
142;Mauritania;58660;1;981;0;57659;0;20;30;12077;202;763393;157171;4857077;Africa
143;Barbados;57230;128;326;0;55850;302;1054;0;198734;1132;599379;2081372;287973;North America
144;Belize;57096;25;652;0;56032;30;412;6;139298;1591;512376;1250051;409884;North America
145;Cabo Verde;55911;4;401;0;55453;0;57;23;98740;708;400982;708143;566244;Africa
146;Syria;55431;32;3118;1;50181;90;2132;0;3042;171;146269;8027;18222247;Asia
147;Gabon;47570;0;303;0;47244;0;23;0;20550;131;1584243;684374;2314878;Africa
148;Papua New Guinea;41533;0;639;0;39905;0;989;7;4497;69;249149;26979;9234779;Australia/Oceania
149;Seychelles;39761;156;163;0;39367;155;231;0;400087;1640;0;0;99381;Africa
150;Curaçao;39459;0;265;0;38760;0;434;3;238808;1604;494095;2990292;165233;North America
151;Andorra;38794;0;152;0;37925;0;717;14;500729;1962;249838;3224756;77475;Europe
152;Burundi;38274;0;38;0;773;0;37463;0;3064;3;345742;27678;12491691;Africa
153;Togo;36860;0;272;0;36542;0;46;0;4282;32;703340;81707;8608073;Africa
154;Mayotte;36745;0;187;0;2964;0;33594;0;129389;658;176919;622981;283988;Africa
155;Guinea;36435;0;440;0;35950;0;45;8;2652;32;660107;48052;13737322;Africa
156;Mauritius;34426;70;934;0;31050;272;2442;0;26993;732;358675;281236;1275353;Africa
157;Faeroe Islands;34237;0;28;0;7693;0;26516;5;696185;569;778000;15820082;49178;Europe
158;Aruba;33796;0;212;0;33522;0;62;4;314276;1971;177885;1654190;107536;North America
159;Tanzania;33726;0;800;0;N/A;N/A;N/A;7;539;13;0;0;62621418;Africa
160;Bahamas;33198;0;773;0;32112;0;313;92;83072;1934;223897;560265;399627;North America
161;Lesotho;32775;0;697;0;23900;0;8178;0;15096;321;415510;191383;2171097;Africa
162;Haiti;30473;12;827;0;26710;172;2936;0;2618;71;132422;11378;11638618;North America
163;Mali;30428;5;726;0;29585;2;117;0;1433;34;635567;29922;21240603;Africa
164;Benin;26575;0;163;0;25506;0;906;5;2099;13;604310;47726;12662109;Africa
165;Somalia;26400;0;1348;0;13182;0;11870;0;1586;81;400466;24058;16645675;Africa
166;Isle of Man;25236;323;81;0;23643;171;1512;0;294136;944;150753;1757089;85797;Europe
167;Congo;24049;0;378;0;20178;0;3493;0;4183;66;347815;60504;5748617;Africa
168;Saint Lucia;22856;3;365;0;22447;2;44;1;123511;1972;138196;746791;185053;North America
169;Timor-Leste;22789;0;129;0;22596;0;64;9;16743;95;252951;185846;1361081;Asia
170;Taiwan;21402;39;853;0;19303;56;1246;0;896;36;12126224;507586;23890010;Asia
171;Burkina Faso;20751;0;375;0;20309;0;67;0;949;17;248995;11382;21875982;Africa
172;Bhutan;19435;783;7;0;14112;274;5316;2;24725;9;2050791;2609019;786039;Asia
173;Cayman Islands;19433;0;17;0;8553;0;10863;2;289902;254;222773;3323333;67033;North America
174;Nicaragua;18290;87;223;1;4225;0;13842;0;2706;33;0;0;6758421;North America
175;Tajikistan;17388;0;124;0;17263;0;1;0;1756;13;0;0;9901289;Asia
176;South Sudan;17067;3;138;0;13507;0;3422;1;1495;12;349306;30596;11416628;Africa
177;Gibraltar;15993;64;101;0;15569;37;323;10;474936;2999;523368;15542199;33674;Europe
178;Equatorial Guinea;15898;0;183;0;15679;0;36;5;10733;124;294218;198637;1481183;Africa
179;Djibouti;15568;0;189;0;15376;14;3;0;15377;187;290949;287385;1012400;Africa
180;San Marino;14726;0;112;0;14340;0;274;4;432456;3289;140260;4118994;34052;Europe
181;CAR;14649;329;113;0;6859;0;7677;2;2946;23;81294;16349;4972354;Africa
182;Liechtenstein;14424;189;79;0;13780;154;565;7;376468;2062;80413;2098789;38314;Europe
183;Grenada;13690;0;216;0;13336;0;138;4;120714;1905;136411;1202823;113409;North America
184;Bermuda;11989;0;125;0;11607;0;257;0;193724;2020;820407;13256532;61887;North America
185;Gambia;11973;0;365;0;11591;0;17;0;4729;144;155686;61490;2531880;Africa
186;Greenland;11895;16;20;0;2761;0;9114;4;208915;351;164926;2896640;56937;North America
187;Yemen;11793;0;2139;0;8879;0;775;23;381;69;265253;8573;30941078;Asia
188;Dominica;11529;0;62;0;11142;0;325;0;159483;858;173956;2406363;72290;North America
189;Saint Martin;9912;0;63;0;1399;0;8450;7;249133;1583;112382;2824662;39786;North America
190;Monaco;9901;74;52;0;9571;38;278;4;249301;1309;54960;1383860;39715;Europe
191;Eritrea;9722;0;103;0;9617;0;2;0;2678;28;23693;6527;3629780;Africa
192;Sint Maarten;9629;0;85;0;9504;10;40;10;220328;1945;62056;1419948;43703;North America
193;Solomon Islands;9412;288;125;5;2121;261;7166;4;13155;175;5117;7152;715474;Australia/Oceania
194;Niger;8781;0;308;0;8461;0;12;1;342;12;233804;9100;25692948;Africa
195;Comoros;8072;3;160;0;7887;0;25;0;8958;178;0;0;901048;Africa
196;Guinea-Bissau;8071;3;169;1;7077;10;825;6;3943;83;126481;61790;2046953;Africa
197;Caribbean Netherlands;7739;86;31;0;7609;43;99;0;290536;1164;30126;1130983;26637;North America
198;Sierra Leone;7670;2;125;0;N/A;N/A;N/A;0;929;15;259958;31501;8252385;Africa
199;Antigua and Barbuda;7470;4;135;0;7330;13;5;1;75222;1359;18901;190331;99306;North America
200;Liberia;7397;0;294;0;5747;0;1356;2;1406;56;139824;26585;5259459;Africa
201;Chad;7267;0;190;0;4874;0;2203;0;422;11;191341;11108;17225679;Africa
202;St. Vincent Grenadines;6743;0;106;0;6636;0;1;0;60454;950;98236;880732;111539;North America
203;British Virgin Islands;6104;0;62;0;N/A;N/A;N/A;1;199653;2028;101161;3308835;30573;North America
204;Sao Tome and Principe;5937;1;72;0;5862;0;3;0;26262;318;29036;128439;226069;Africa
205;Turks and Caicos;5874;0;36;0;5808;0;30;4;148307;909;419792;10598935;39607;North America
206;Saint Kitts and Nevis;5541;0;42;0;5496;1;3;1;102920;780;65141;1209945;53838;North America
207;Palau;3922;0;6;0;3630;0;286;1;215022;329;37947;2080428;18240;Australia/Oceania
208;St. Barth;3780;0;6;0;N/A;N/A;N/A;0;380741;604;78646;7921636;9928;North America
209;Kiribati;3038;5;13;0;2455;13;570;9;24788;106;0;0;122561;Australia/Oceania
210;Anguilla;2595;0;9;0;2572;0;14;4;170387;591;51382;3373736;15230;North America
211;Tonga;2072;209;2;0;705;133;1365;0;19233;19;72393;671986;107730;Australia/Oceania
212;Saint Pierre Miquelon;1554;238;1;0;1194;95;359;1;270449;174;17358;3020884;5746;North America
213;Diamond Princess;712;0;13;0;699;0;0;0;0;0;0;0;0;
214;Cook Islands;476;97;0;0;132;15;344;0;27059;0;3537;201069;17591;Australia/Oceania
215;Wallis and Futuna;454;0;7;0;438;0;9;0;41632;642;20508;1880605;10905;Australia/Oceania
216;Vanuatu;317;35;1;0;30;0;286;1;993;3;24976;78214;319328;Australia/Oceania
217;Montserrat;171;5;2;0;162;0;7;0;34221;400;8359;1672804;4997;North America
218;Falkland Islands;118;0;0;0;N/A;N/A;N/A;0;32311;0;8632;2363636;3652;South America
219;Macao;82;0;0;0;79;0;3;0;123;0;5318;8005;664368;Asia
220;Samoa;48;0;0;0;28;0;20;0;239;0;0;0;200654;Australia/Oceania
221;Vatican City;29;0;0;0;28;0;1;0;36070;0;0;0;804;Europe
222;Western Sahara;10;0;1;0;8;0;1;0;16;2;0;0;622266;Africa
223;MS Zaandam;9;0;2;0;7;0;0;0;0;0;0;0;0;
224;Marshall Islands;7;0;0;0;7;0;0;0;117;0;0;0;59868;Australia/Oceania
225;Saint Helena;2;0;0;0;2;0;0;0;327;0;0;0;6108;Africa
226;Micronesia;1;0;0;0;1;0;0;0;9;0;0;0;117071;Australia/Oceania
227;Niue;1;0;0;0;0;0;1;0;608;0;0;0;1645;Australia/Oceania
