#;Country,Other;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;New Recovered;Active Cases;Serious,Critical;Tot Cases/1M pop;Deaths/1M pop;Total Tests;Tests/1M pop;Population;Continent
32;Chile;3188448;19353;43077;122;2255782;39347;889589;1050;164426;2221;33519880;1728599;19391359;South America
33;Thailand;3026695;21881;23238;59;2770939;21448;232518;687;43181;332;17270775;246395;70093717;Asia
34;Switzerland;2927870;15587;13300;0;2328362;34405;586208;134;334203;1518;18871544;2154099;8760758;Europe
35;Austria;2867760;28463;15008;22;2560176;25279;292576;191;315396;1651;162656029;17888881;9092577;Europe
36;Romania;2768261;3092;63962;29;2582986;12440;121313;777;145526;3362;21316352;1120588;19022464;Europe
37;Denmark;2727629;10301;4868;38;2452256;24251;270505;37;468149;836;125881352;21605303;5826410;Europe
38;Greece;2508472;9213;26194;51;2310472;19572;171806;376;242654;2534;67391555;6519029;10337668;Europe
39;Sweden;2455966;0;17479;0;2271489;28314;166998;59;240666;1713;18174812;1780994;10204870;Europe
40;Iraq;2308191;636;25050;9;2255702;1536;27439;88;55306;600;18056631;432651;41734879;Asia
41;Bangladesh;1947266;529;29085;8;1843338;3340;74843;1316;11630;174;13526941;80787;167440555;Asia
42;Serbia;1925618;1641;15437;32;1846008;6209;64173;94;221888;1779;8834066;1017944;8678346;Europe
43;Hungary;1800046;0;44286;0;1618574;0;137186;126;187130;4604;10836962;1126596;9619211;Europe
44;Jordan;1638228;0;13849;0;1546429;0;77950;694;157932;1335;16319298;1573251;10372975;Asia
45;Georgia;1625372;1700;16366;28;1554533;7002;54473;0;408762;4116;15994475;4022426;3976325;Asia
46;Pakistan;1514258;755;30265;7;1454382;886;29611;821;6639;133;26646219;116828;228080586;Asia
47;Slovakia;1509494;6186;18687;24;1335685;11880;155122;216;276258;3420;6494440;1188570;5464077;Europe
48;Ireland;1320208;1254;6531;0;1192686;6061;120991;43;262453;1298;11426271;2271504;5030266;Europe
49;Norway;1308342;3336;1664;0;88952;0;1217726;26;238213;303;9852076;1793789;5492326;Europe
50;Kazakhstan;1303707;171;13629;3;1276577;960;13501;528;68067;712;11575012;604336;19153269;Asia
51;Morocco;1161646;60;16017;2;1143345;453;2284;293;30859;425;11237010;298507;37644076;Africa
52;Bulgaria;1101326;515;35832;21;854248;868;211246;413;160526;5223;9269476;1351093;6860723;Europe
53;Lebanon;1078249;1007;10152;10;682977;0;385120;186;159170;1499;4795578;707920;6774183;Asia
54;Cuba;1072956;482;8500;1;1062032;458;2424;23;94826;751;12920253;1141867;11315021;North America
55;Croatia;1063828;875;15214;20;1039042;1580;9572;72;261845;3745;4547463;1119290;4062809;Europe
56;Tunisia;1005804;637;27943;21;972671;6140;5190;157;83636;2324;4383962;364541;12025975;Africa
57;Nepal;977501;54;11947;2;959093;538;6461;100;32567;398;5446075;181444;30015158;Asia
58;Lithuania;932082;3247;8517;19;843529;1543;80036;77;350592;3204;7819597;2941255;2658592;Europe
59;Belarus;931002;1662;6566;16;923241;2450;1195;0;98580;695;12550827;1328958;9444110;Europe
60;Slovenia;903715;967;6363;10;871960;2288;25392;81;434600;3060;2578806;1240158;2079417;Europe
61;Bolivia;894967;416;21461;6;797168;1348;76338;220;74956;1797;2669468;223574;11939965;South America
62;UAE;882884;407;2301;0;843099;1399;37484;0;87494;228;140192259;13893141;10090753;Asia
63;Uruguay;854375;1205;7046;6;833724;2200;13605;110;244532;2017;5759420;1648412;3493920;South America
64;Ecuador;841575;875;35309;1;N/A;N/A;N/A;759;46516;1952;2470170;136533;18092158;South America
65;Singapore;832821;13158;1078;5;775913;18172;55830;47;140501;182;23230460;3919101;5927497;Asia
66;Costa Rica;816718;773;8113;16;696754;5188;111851;108;157908;1569;3712867;717862;5172119;North America
67;Guatemala;791944;0;17073;0;737485;0;37386;5;42875;924;3997718;216432;18471010;North America
68;Azerbaijan;789332;374;9518;18;775275;1029;4539;0;76691;925;6599806;641230;10292421;Asia
69;Panama;757568;81;8114;3;746146;682;3308;26;171062;1832;5549591;1253119;4428624;North America
70;Saudi Arabia;747436;317;9008;2;727544;668;10884;422;20923;252;41039706;1148840;35722722;Asia
71;Latvia;701540;3992;5351;3;580836;6767;115353;59;378960;2891;6814874;3681276;1851226;Europe
72;Finland;671773;0;2387;0;46000;0;623386;39;120928;430;10008882;1801729;5555155;Europe
73;Sri Lanka;650140;508;16331;10;618141;8319;15668;0;30150;757;6282076;291325;21563820;Asia
74;Paraguay;643879;260;18471;11;615041;825;10367;131;88452;2537;2543377;349392;7279430;South America
75;Kuwait;623159;670;2545;1;614597;928;6017;32;142389;582;7726633;1765504;4376447;Asia
76;Myanmar;598446;1029;19389;3;547444;1579;31613;0;10877;352;7254327;131845;55021476;Asia
77;Palestine;578270;325;5287;3;565038;1193;7945;56;109105;998;3078533;580843;5300112;Asia
78;Dominican Republic;575949;66;4371;0;570146;419;1432;31;52215;396;3143848;285019;11030314;North America
79;Bahrain;527135;1964;1458;0;506045;2088;19632;12;292754;810;9453634;5250248;1800607;Asia
80;Venezuela;516817;239;5649;2;506362;555;4806;230;18262;200;3359014;118690;28300813;South America
81;Estonia;515708;1641;2290;0;404984;3019;108434;21;388325;1724;3139577;2364084;1328031;Europe
82;Moldova;505393;518;11292;7;484333;1141;9768;96;125775;2810;3059425;761385;4018239;Europe
83;Libya;497958;679;6299;11;474527;2177;17132;126;70854;896;2439652;347136;7027938;Africa
84;Egypt;490969;1093;24197;25;421215;1321;45557;122;4651;229;3693367;34985;105569243;Africa
85;Hong Kong;471617;31008;2007;233;13232;0;456378;61;62063;264;36260319;4771739;7598974;Asia
86;Ethiopia;468966;36;7476;0;420314;16;41176;69;3917;62;4535438;37879;119734440;Africa
87;Mongolia;465763;173;2174;1;313256;0;150333;192;138341;646;4030048;1197002;3366784;Asia
88;Armenia;421341;115;8536;8;406193;505;6612;0;141745;2872;2916349;981099;2972532;Asia
89;Honduras;413699;0;10785;0;128408;0;274506;105;40684;1061;1263329;124237;10168669;North America
90;Oman;384818;296;4249;1;374799;2925;5770;43;72277;798;25000000;4695538;5324204;Asia
91;Bosnia and Herzegovina;372382;127;15561;17;192218;0;164603;0;114699;4793;1706211;525539;3246594;Europe
92;Qatar;358253;170;670;0;355333;283;2250;10;127592;239;3384432;1205366;2807805;Asia
93;Cyprus;333238;1730;877;2;124370;0;207991;60;272677;718;9477138;7754810;1222098;Asia
94;Kenya;323075;4;5641;1;303352;23;14082;1;5794;101;3403120;61036;55755985;Africa
95;Zambia;313821;77;3959;1;308499;299;1363;1;16305;206;3289640;170923;19246354;Africa
96;Réunion;302162;0;666;0;289069;0;12427;41;333502;735;1463269;1615039;906027;Africa
97;North Macedonia;299642;223;9079;4;287692;174;2871;0;143835;4358;1904444;914178;2083231;Europe
98;Albania;272210;78;3482;3;267197;114;1531;13;94763;1212;1752127;609960;2872527;Europe
99;Algeria;265265;38;6855;2;177864;37;80546;14;5872;152;230861;5110;45178208;Africa
100;Botswana;263950;0;2619;0;259434;0;1897;1;108568;1077;2026898;833703;2431199;Africa
101;Nigeria;254657;17;3142;0;249202;31;2313;11;1186;15;4519905;21052;214699305;Africa
102;Zimbabwe;239209;190;5399;2;228744;520;5066;12;15711;355;2104159;138198;15225633;Africa
103;Uzbekistan;236899;59;1637;0;234022;89;1240;23;6910;48;1377915;40193;34282359;Asia
104;Montenegro;230958;71;2685;0;227242;182;1031;60;367651;4274;1179014;1876816;628199;Europe
105;Mozambique;225140;5;2196;0;219897;0;3047;13;6880;67;1277445;39039;32722203;Africa
106;New Zealand;222767;15205;65;2;43166;3586;179536;0;44535;13;6807759;1360980;5002100;Australia/Oceania
107;Kyrgyzstan;200631;16;2965;2;195646;46;2020;131;29924;442;1907195;284460;6704621;Asia
108;Luxembourg;186360;0;996;0;175605;0;9759;5;289807;1549;4081710;6347432;643049;Europe
109;Afghanistan;174752;405;7625;3;157606;290;9521;1124;4326;189;896562;22194;40397353;Asia
110;Maldives;172576;306;297;0;157797;408;14482;25;310109;534;2200704;3954537;556501;Asia
111;Uganda;163338;0;3590;0;100064;0;59684;35;3392;75;2472516;51339;48160142;Africa
112;Ghana;160028;0;1442;0;157999;0;587;1;4976;45;2321483;72186;32159866;Africa
113;Namibia;157338;14;4013;0;153063;4;262;5;60098;1533;961681;367330;2618029;Africa
114;El Salvador;156364;0;4088;2;132410;0;19866;153;23905;625;1758939;268906;6541090;North America
115;Laos;144155;186;629;1;7660;0;135866;0;19343;84;1002806;134559;7452546;Asia
116;Iceland;140929;0;68;0;75685;0;65176;3;408541;197;1782357;5166896;344957;Europe
117;Cambodia;132402;330;3041;1;126439;408;2922;0;7740;178;2876360;168141;17106868;Asia
118;Trinidad and Tobago;130400;437;3659;7;104483;265;22258;18;92674;2600;638727;453935;1407088;North America
119;Rwanda;129556;5;1458;0;45522;0;82576;1;9604;108;4918503;364600;13490123;Africa
120;Jamaica;128179;13;2827;2;78664;185;46688;25;42972;948;861547;288834;2982842;North America
121;Guadeloupe;126642;0;837;0;2250;0;123555;19;316416;2091;938039;2343697;400239;North America
122;Cameroon;119322;0;1926;0;117263;0;133;13;4315;70;1751774;63349;27652909;Africa
123;Martinique;115951;0;895;0;104;0;114952;10;309387;2388;707420;1887576;374777;North America
124;China;110868;329;4636;0;102541;103;3691;14;77;3;160000000;111163;1439323776;Asia
125;Angola;98806;10;1900;0;96800;62;106;0;2857;55;1439861;41640;34578437;Africa
126;Brunei ;88849;4005;143;3;50112;3566;38594;0;199884;322;717784;1614801;444503;Asia
127;DRC;86154;0;1335;0;50930;0;33889;0;915;14;846704;8996;94121574;Africa
128;Senegal;85757;10;1961;0;83719;14;77;3;4905;112;1019319;58303;17483088;Africa
129;Malawi;85429;18;2619;1;76199;18;6611;67;4280;131;550454;27581;19958067;Africa
130;Ivory Coast;81556;10;795;0;80383;69;378;0;2969;29;1431243;52097;27472621;Africa
131;Suriname;78487;33;1318;1;49364;0;27805;3;131812;2213;230320;386802;595446;South America
132;French Guiana;77782;0;393;0;11254;0;66135;5;249580;1261;597622;1917600;311651;South America
133;Malta;71899;99;608;0;70009;74;1282;3;162112;1371;1211456;2731488;443515;Europe
134;Eswatini;69298;1;1391;0;67811;43;96;11;58712;1179;482098;408452;1180306;Africa
135;French Polynesia;68425;0;642;0;N/A;N/A;N/A;7;241247;2264;0;0;283631;Australia/Oceania
136;Fiji;64030;5;834;0;62130;0;1066;0;70569;919;498124;548995;907338;Australia/Oceania
137;Madagascar;63791;0;1373;0;59002;0;3416;26;2209;48;401851;13913;28883598;Africa
138;Guyana;63055;15;1223;0;61511;3;321;3;79523;1542;545519;687990;792917;South America
139;Sudan;61569;0;3912;0;40329;0;17328;0;1351;86;562941;12355;45564658;Africa
140;Mauritania;58649;3;980;0;57639;4;30;30;12082;202;753104;155139;4854396;Africa
141;Belize;56876;0;651;0;55227;0;998;6;138815;1589;505691;1234218;409726;North America
142;New Caledonia;56833;0;302;0;50063;0;6468;21;195908;1041;98964;341138;290100;Australia/Oceania
143;Barbados;56124;111;319;0;54123;0;1682;0;194899;1108;591530;2054173;287965;North America
144;Cabo Verde;55895;3;401;0;55430;1;64;23;98735;708;400982;708309;566112;Africa
145;Syria;55026;63;3095;3;48267;180;3664;0;3021;170;146269;8031;18212928;Asia
146;Channel Islands;53230;0;145;0;49786;0;3299;0;301501;821;1214932;6881518;176550;Europe
147;Gabon;47559;0;303;0;47066;0;190;1;20555;131;1576525;681379;2313727;Africa
148;Papua New Guinea;41421;0;638;0;39905;0;878;7;4487;69;249149;26990;9231069;Australia/Oceania
149;Seychelles;39403;0;163;0;38923;0;317;0;396536;1640;0;0;99368;Africa
150;Curaçao;39133;0;264;0;38533;0;336;3;236857;1598;494095;2990564;165218;North America
151;Andorra;38434;0;151;0;37606;0;677;14;496102;1949;249838;3224881;77472;Europe
152;Burundi;38150;0;38;0;773;0;37339;0;3056;3;345742;27695;12483916;Africa
153;Togo;36821;6;272;0;36424;3;125;0;4280;32;695742;80864;8603820;Africa
154;Mayotte;36703;0;187;0;2964;0;33552;0;129307;659;176919;623299;283843;Africa
155;Guinea;36399;2;440;0;32939;0;3020;49;2651;32;587607;42799;13729507;Africa
156;Faeroe Islands;34237;0;28;0;7693;0;26516;5;696242;569;778000;15821369;49174;Europe
157;Aruba;33732;0;212;0;33462;0;58;7;313710;1972;177885;1654344;107526;North America
158;Tanzania;33620;0;798;0;N/A;N/A;N/A;7;537;13;0;0;62584080;Africa
159;Bahamas;33171;2;771;0;31998;35;402;9;83022;1930;222122;555937;399545;North America
160;Lesotho;32707;0;697;0;23437;0;8573;0;15067;321;403174;185732;2170726;Africa
161;Mauritius;32431;0;786;0;28637;0;3008;0;25430;616;358675;281246;1275307;Africa
162;Mali;30398;0;725;1;29546;2;127;0;1432;34;627334;29552;21227801;Africa
163;Haiti;30385;0;823;0;25485;0;4077;0;2611;71;132422;11381;11635580;North America
164;Benin;26575;0;163;0;25506;0;906;5;2100;13;604310;47752;12655144;Africa
165;Somalia;26351;0;1348;0;13182;0;11821;0;1584;81;400466;24072;16635945;Africa
166;Congo;24020;0;378;0;20178;0;3464;0;4181;66;347815;60535;5745639;Africa
167;Isle of Man;23519;76;80;0;22739;80;700;0;274153;933;150753;1757274;85788;Europe
168;Saint Lucia;22779;46;362;2;22306;26;111;3;123107;1956;136618;738340;185034;North America
169;Timor-Leste;22759;2;129;0;22440;50;190;9;16728;95;248770;182848;1360531;Asia
170;Taiwan;20840;43;853;0;18768;54;1219;0;872;36;11818152;494710;23889071;Asia
171;Burkina Faso;20751;0;375;0;20309;0;67;0;949;17;248995;11389;21863407;Africa
172;Cayman Islands;19373;0;17;0;8553;0;10803;2;289080;254;222773;3324176;67016;North America
173;Nicaragua;18105;0;221;0;4225;0;13659;0;2680;33;0;0;6756698;North America
174;Tajikistan;17388;0;124;0;17263;0;1;0;1757;13;0;0;9896596;Asia
175;South Sudan;16999;0;137;0;13271;0;3591;1;1489;12;342501;30008;11413761;Africa
176;Equatorial Guinea;15889;0;183;0;15665;0;41;5;10735;124;290997;196597;1480170;Africa
177;Gibraltar;15609;0;101;0;15028;0;480;10;463533;2999;517725;15374621;33674;Europe
178;Djibouti;15550;0;189;0;15359;0;2;0;15364;187;287374;283942;1012086;Africa
179;Bhutan;14798;347;7;0;10486;298;4305;3;18830;9;2012095;2560393;785854;Asia
180;San Marino;14369;0;112;0;13994;0;263;4;421985;3289;136485;4008252;34051;Europe
181;CAR;14320;0;113;0;6859;0;7348;2;2881;23;81294;16355;4970517;Africa
182;Grenada;13690;0;216;0;13336;0;138;4;120726;1905;136411;1202951;113397;North America
183;Liechtenstein;12932;99;78;0;11863;0;991;6;337544;2036;80413;2098899;38312;Europe
184;Gambia;11939;0;365;0;11559;0;15;4;4718;144;137657;54401;2530390;Africa
185;Greenland;11806;0;20;0;2761;0;9025;4;207359;351;164926;2896742;56935;North America
186;Yemen;11777;2;2138;3;8795;5;844;23;381;69;265253;8577;30926686;Asia
187;Bermuda;11634;0;123;0;11338;0;173;0;187973;1987;805308;13011504;61892;North America
188;Dominica;11248;0;61;0;10918;0;269;0;155604;844;169712;2347785;72286;North America
189;Saint Martin;9912;0;63;0;1399;0;8450;7;249227;1584;112382;2825727;39771;North America
190;Eritrea;9715;0;103;0;9604;0;8;0;2677;28;23693;6529;3628707;Africa
191;Sint Maarten;9573;0;85;0;9446;0;42;10;219102;1945;62056;1420306;43692;North America
192;Monaco;9539;2;51;0;9351;29;137;4;240223;1284;54960;1384069;39709;Europe
193;Niger;8766;4;307;0;8449;3;10;1;341;12;230822;8991;25673678;Africa
194;Comoros;8048;15;160;0;7867;12;21;0;8936;178;0;0;900642;Africa
195;Guinea-Bissau;8033;6;167;0;7018;0;848;6;3926;82;125020;61107;2045933;Africa
196;Solomon Islands;8026;86;116;1;1783;0;6127;2;11224;162;5117;7156;715105;Australia/Oceania
197;Sierra Leone;7665;0;125;0;N/A;N/A;N/A;0;929;15;259958;31515;8248832;Africa
198;Caribbean Netherlands;7612;0;31;0;7545;0;36;0;285822;1164;30126;1131196;26632;North America
199;Antigua and Barbuda;7455;0;135;0;7301;0;19;1;75084;1360;18901;190363;99289;North America
200;Liberia;7384;0;294;0;5747;0;1343;2;1405;56;139824;26598;5256854;Africa
201;Chad;7255;0;190;0;4874;0;2191;0;421;11;191341;11115;17215334;Africa
202;St. Vincent Grenadines;6742;0;106;0;6632;5;4;0;60450;950;98236;880795;111531;North America
203;British Virgin Islands;6091;0;62;0;N/A;N/A;N/A;1;199261;2028;100749;3295898;30568;North America
204;Sao Tome and Principe;5934;0;72;0;5860;1;2;0;26259;319;29036;128489;225980;Africa
205;Turks and Caicos;5867;0;36;0;5787;0;44;4;148175;909;419792;10602147;39595;North America
206;Saint Kitts and Nevis;5536;0;42;0;5490;0;4;1;102842;780;65141;1210124;53830;North America
207;Palau;3844;0;6;0;3313;0;525;5;210757;329;37269;2043369;18239;Australia/Oceania
208;St. Barth;3780;0;6;0;N/A;N/A;N/A;0;380741;604;78646;7921636;9928;North America
209;Kiribati;2986;1;11;0;2331;10;644;9;24371;90;0;0;122521;Australia/Oceania
210;Anguilla;2555;0;9;0;2528;0;18;4;167783;591;51382;3374179;15228;North America
211;Saint Pierre Miquelon;1102;0;1;0;1070;0;31;1;191752;174;17358;3020358;5747;North America
212;Tonga;889;65;0;0;311;0;578;0;8254;0;34012;315791;107704;Australia/Oceania
213;Diamond Princess;712;0;13;0;699;0;0;0;0;0;0;0;0;
214;Wallis and Futuna;454;0;7;0;438;0;9;0;41617;642;20508;1879916;10909;Australia/Oceania
215;Montserrat;164;0;2;0;162;0;0;0;32820;400;8359;1672804;4997;North America
216;Cook Islands;132;15;0;0;9;1;123;0;7504;0;2627;149338;17591;Australia/Oceania
217;Falkland Islands;115;0;0;0;N/A;N/A;N/A;0;31507;0;8632;2364932;3650;South America
218;Macao;82;0;0;0;79;0;3;0;123;0;5318;8007;664175;Asia
219;Vanuatu;33;2;1;0;6;0;26;0;103;3;23000;72062;319171;Australia/Oceania
220;Samoa;33;0;0;0;28;0;5;0;164;0;0;0;200625;Australia/Oceania
221;Vatican City;29;0;0;0;28;0;1;0;36070;0;0;0;804;Europe
222;Western Sahara;10;0;1;0;8;0;1;0;16;2;0;0;621944;Africa
223;MS Zaandam;9;0;2;0;7;0;0;0;0;0;0;0;0;
224;Marshall Islands;7;0;0;0;7;0;0;0;117;0;0;0;59860;Australia/Oceania
225;Saint Helena;2;0;0;0;2;0;0;0;327;0;0;0;6107;Africa
226;Micronesia;1;0;0;0;1;0;0;0;9;0;0;0;117045;Australia/Oceania
